Chinese,Pinyin,Definition,例句
生根发芽,shēng gēn fā yá,take root and sprout,1) 这颗种子在土壤中生根发芽了。2) 在市场经济的推动下，越来越多的外国企业开始在中国投资，希望在这个潜力巨大的市场中生根发芽。
以…为代表,yǐ...wéi dàibiǎo,represent by...,1）以ChatGPT 为代表的新AI 技术正在加速升级法律服务。2）手机行业以华为、小米为代表，无人机行业以大疆(DJI)为代表，都获得了海外用户的认可。
受众,shòu zhòng,audience,这部电影的受众主要是青少年。
进化,jìn huà,evolve,进化论(evolutionary theory)认为，生物在长时间的进化过程中适应了环境。
时期,shí qī,period,1) 当前，世界正面临许多全球性问题，例如气候变化和国际关系紧张，这是一个充满挑战的时期。2) 在中国历史的不同时期，经济和社会都发生了巨大的变化。
呈现,chéng xiàn,present,1) 这幅画作品中呈现了丰富的色彩和构图。 2）该公司将在新产品发布会上呈现其最新的科技创新和产品设计。
主题,zhǔ tí,theme,这部电影的主题是爱情。
抒情,shū qíng,"lyrical, expressing emotions",1) 这首歌曲以其抒情的旋律(melody)和歌词而闻名。 2) 她唱的抒情类歌曲非常好听。
繁荣,fán róng,prosperity,这个城市正在经历经济繁荣的时期。
以...论英雄,yǐ...lùn yīng xióng,to judge heroes based on...,在当今社会，一些人将财富和地位作为评价英雄的标准，主张以金钱和社会地位论英雄。
略胜一筹,lüè shèng yì chóu,slightly better than,这支队伍在比赛中略胜一筹，最终获得了胜利。
人生赢家,rén shēng yíng jiā,winner in life,他经过多次的努力和奋斗，终成人生赢家。
摇滚,yáo gǔn,rock and roll,这支乐队以其独特的摇滚音乐风格而闻名。
凭、凭借,"píng, píng jiè",rely on,（凭借…+VP）1）他凭借自己的聪明才智在工作中取得了成功。2）这个公司凭借其创新产品在市场上占据了领先地位。
一无所有,yì wú suǒ yǒu,have nothing,他失去了所有的财产，现在一无所有。
率先,shuài xiān,take the lead,这家公司在绿色环保方面率先行动。
占领,zhàn lǐng,occupy,军队成功占领了敌方的阵地。2) 这款新产品一经推出就很快占领了市场。
激情,jī qíng,passion,1）他对音乐充满了激情。2）那时候的他充满了激情与理想。
突出,tū chū,"Prominent, outstanding",1）他在这次比赛中表现突出，获得了金牌。 2）这次行动项目在会议上被认为是最突出的成就之一。
累计,lěi jì,accumulate,这家公司今年的营业额已经累计达到了1亿美元。
销量,xiāo liàng,sales volume,1）春节前夕，商店里的肉类和水果销量倍增。2）经过大力宣传后，该款产品销量有所提升。
先驱、先驱者,xiān qū,pioneer,"1）他是电子音乐领域的先驱之一。2）美国革命先驱曾说过：“不自由，毋宁死”！（ Give me liberty, or give me death!）"
标配,biāo pèi,"standard configuration, comes with …as standard",1）这款电视自带了高清屏幕和智能功能（high-definition screen and smart functions），是目前市场上的标配。2）这款手机标配了快速充电和高像素摄像头（fast charging and a high-resolution camera）。
滥情,làn qíng,promiscuous,1）他因为滥情而失去了许多朋友。2）在这个滥情的年代，一句亲爱的，充其量也就是个你好，何必太认真。
横空出世,héng kōng chū shì,emerge suddenly,这位年轻的艺术家横空出世，一举成名。
审美标准,shěn měi biāo zhǔn,aesthetic standards,不同文化对审美标准有不同的看法。
逐渐,zhú jiàn,gradually,随着时间的推移，他逐渐变得更加成熟。
创意,chuàng yì,creativity,这幅画作展现了艺术家的创意和想象力。
另类,lìng lèi,"(adj. /n.) alternative, something out of the ordinary",1) 这是一部另类电影，不同于传统的电影风格。2）在众多歌手中，他显得十分另类。
偶像,ǒu xiàng,idol,这位歌手是年轻人心中的偶像。
进军,jìn jūn,march into,这家公司计划进军国际市场。
霸占,bà zhàn,seize and occupy,霸占土地的行为是违法的，应该受到法律制裁（sanction）。
盗版,dào bǎn,piracy,这部电影在上映后不久就被盗版了。
收益（=利润）,shōu yì,revenue,这家企业今年的收益比去年增长了50%。
曾经,céng jīng,once,曾经的失败使他更加坚强。
拯救,zhěng jiù,rescue,消防员（firefighters）迅速赶到火灾现场，英勇拯救被困居民。
老婆,,wife 太太、爱人、对象,“耙耳朵”，这个词在四川话中的意思就是怕老婆的男人。
唯一,wéi yī,only; sole；unique 只有这一个，很特别,在中国历史上，武则天是唯一一位女皇帝。
颇具,pō jù,rather; quite; to have much 颇：非常，常组成这两个词：颇有，颇具。,我颇有同感！／这个公司已经颇具规模了！（=规模已经相当大了） 颇具=非常具有
争议性,zhēng yì xìng,controversial,我们经常讨论一些具有争议性的话题。
学霸,xué bà,"(slang) top student "" 霸：以前人们把一些能力特别强，但是特别无理的人称为“霸、霸王”，比方说：他是我们的村霸。／这个恶霸终于被捕了，大家拍手称快！",王小晨从小到大一直都是学霸。
虐,nüè,这里“虐” 是比较流行的网路词语，指“折磨”虐待：abuse,这部电影里的男主角被虐得太惨了！
安慰,ān wèi,to comfort; to console; Classifiers: 个,他刚失恋，非常需要朋友的安慰。
残酷,cán kù,cruel; cruelty,孩子跑到母亲身边以寻求安慰。
别说…就是…,bié shuō...jiù shì…,（别说/不要说…就是/就连…也…）Not to mention…even…,别说这么件小事了，就是让我赴汤蹈火(go through hell and high water)，也一定在所不辞(will never decline)。
碾压,niǎn yā,to crush or compact by means of a roller 碾子：农村压粮食用的一种工具。 碾压机：roller machine。碾 v.: 用力压,他的成绩碾压了我们所有人，实在太厉害了。
学历,xué lì,educational background; academic qualifications 高等教育学历：本科学历、研究生学历、博士学历,面试官会询问你的学历背景。
远远超过,yuǎn yuǎn chāo guò,surpassing by far,那件衣服太贵了，远远超过我的预算。
高管,gāo guǎn,executive; senior management; (contraction of 高级管理 ),我早知道我们公司的高管之间争斗得很凶，只是觉得家丑不可外扬，所以没有对别人说。
达到,dá dào,to reach; to achieve; to attain,这部电影达到了我的预期。
位居,wèi jū,"to be located at, to be ranked",加拿大在牧草生产方面位居世界第二。
领导,lǐng dǎo,lead; leading; to lead; leadership; leader; Classifiers: 位,那两个领导人正在争夺权力。
满足于,mǎn zú yú,satisfied with,我们不能满足于已取得的成就。
富豪,fù háo,rich and powerful person,几个富豪家族为那个政权撑腰。
火辣,huǒ là,painful heat; scorching; rude and forthright; provocative; hot; sexy 火辣：多指女性身材非常性感,她是个身材火辣、衣着入时的美女。
白手起家,bái shǒu qǐ jiā,to build up from nothing; to start from scratch 在没有任何背景下创业,想当年，他白手起家，建立了强大的sony电子王国。
体现,tǐ xiàn,"v. reflect, show, embody体现 is used to indicate through language, action, development and change to express people’s spirit o the nature of things.",这幅画体现出了画家对大自然的热爱。 人生的价值要靠行动来体现。
主观,zhǔ guān,subjective,研究问题，忌带主观性。
存款,cún kuǎn,to deposit money (in a bank etc); bank savings; bank deposit,他在银行里有大笔存款。
针对,zhēn duì,to target; to focus on; to be aimed at or against; in response to,他的发言是泛指一般情况，不是针对某一个人的。
"调查
 (*复习生词)",diào chá,investigation; inquiry; to investigate; to survey; survey; (opinion) poll; Classifiers: 项,警方正在调查爆炸的原因。
"显示
 (*复习生词)",xiǎn shì,to show; to illustrate; to display; to demonstrate,证据显示谋杀案的凶手是他。
六成,liù chéng,百分之六十,六成的人都同意这项决策。
房产,fang chan,"property, estate",我还不知道这处房产已经要出售了
理财,lǐ cái,manage finance 理财=管理钱财理财专家、理财顾问 financial advisor,及时记账是理财的好习惯。
略,lüè,"a little, slightly 略lüè=略微",他不会略费力气帮一点忙。
任期,rèn qī,term of office; Classifiers: 届（这届任期，上届任期）,美国总统的任期是四年。
掌握,zhǎng wò,"to grasp (often fig.); to control; to seize (initiative, opportunity, destiny); to master; to know well; to understand sth well and know how to use it; fluency",我现在掌握了窍门。
财政,cái zhèng,finances (public); financial,这家公司依靠政府的财政援助才度过难关。
大权,dà quán,power; authority,汤姆掌握大权，他做所有的决定。
铁证如山,tiě zhèng rú shān,irrefutable evidence,一些曾经的受害人从上世纪90年代开始鼓起勇气控诉日军罪行，简直铁证如山。
性别,xìng bié,gender; sex,她对他性别歧视的言语非常气愤。
差距,chā jù,disparity; gap,缩小贫富差距是政府面临的主要挑战之一。
评价,píng jià,to evaluate; to assess,人们对她的成就给予了高度评价。
A 相对于 B,xiāng duì yú,compared to B， A…,地球相对于太阳运动。/相对于男性，年龄较大的女性更难找到合适的对象。
稍,shāo,somewhat; a little  稍微,每所房子都稍有区别。
反例,fǎn lì,counterexample 完全相反的例子,不一定越老越没用，“老马识途”不是个反例吗？
继承,jì chéng,to inherit; to succeed to (the throne etc); to carry on (a tradition etc),她继承父业，也从事戏剧工作。
歧视,qí shì,to discriminate against; discrimination,有色人种在一些国家受到歧视。
改善(*复习生词),gǎi shàn,to make better; to improve; Classifiers: 个,该地区的环境问题已经有所改善了。
前提,qián tí,"premise, prerequisite 
 在…的前提下 on premise of","两性平等、种族平等是社会和谐发展的前提。
 我们应该在保护环境的前提下发展经济。"
允许,yǔn xǔ,to permit; to allow,允许 sb. to do sth. 例句：改革开放以前，中国政府不允许个人创办公司。 n.  得到允许 例句：你要转校需要得到两所学校的允许。
"持续
 （*复习生词）",chí xù,to continue; to persist; sustainable; preservation 持续：不间断,例句：这场雨持续下了三天。 如果你发烧的持续时间超过一天，应该去看医生。 这种不顾环境的经济发展能否持续下去？ 可持续性发展sustainable development 是一种理想的经济发展模式。
合法,hé fǎ,lawful,公民的合法权益应该得到保障。
下降,xià jiàng,to decline; to drop; to fall; to go down; to decrease 反义词antonym：上升,例句：随着疫苗接种人数的增加，患病人数持续下降。
延缓 （*不是必须掌握的生词，optional）,yán huǎn,to defer; to postpone; to put off; to retard; to slow sth down,例句：学习语言可以延缓人类大脑的衰老和退化。
迫在眉睫,pò zài méi jié,pressing in on one's eyelashes (idiom); imminent 眉：眉毛 eyebrow  睫：睫毛 eyelash,Suject 迫在眉睫。/ 迫在眉睫的+N 危机、危险、问题、大事 例句：没想到战争已经迫在眉睫了！ 我们正在面临一场迫在眉睫的生态危机。
危机,wēi jī,crisis; Classifiers: 个,例句：他随机应变，渡过危机。
减缓,jiǎn huǎn,to slow down; to retard 减少+缓慢：让...慢一点,例句：这项工作很复杂，急不得，我们可以减缓进行整个项目的速度。
推出,tuī chū,to push out; to release; to launch; to publish; to recommend 推出（新）产品、推出政策、推出规定,例句：下月公司将推出新型号的产品。
独生子女政策,dú shēng zǐ nǚ zhèng cè,one-child policy 计划生育政策,例句：由于中国的独生子女政策，现在大部分家庭只有一个孩子。
"实施
 （*复习生词）",shí shī,to implement; to carry out 实施政策、实施规定、实施计划,例句：这一项计划的实施使许多家庭受到了影响。
具,jù,to have 具有+～性、特点、特色、风格,例句：这家餐馆的装修具有中国特色。 公司推出的新产品非常具有独创性。
措施（*复习生词）,cuò shī,measure 采取...措施,例如：政府将采取什么措施来解决这一问题？
随着,suí zhe,along with; in the wake of 随着 ... （A的变化，B也变化）,例句：随着机动车辆的增加，城市的污染问题也更严重了。
以下,,the following,例句：我们注意以下几点：…
寻找,xún zhǎo,to seek; to look for,例句：他们到处寻找失踪的小孩。
批准,pī zhǔn,to approve; to ratify n./v.  批准提议、批准请求、批准+to do 获得批准、得到批准,例句：这一药物的上市已经获得了FDA的批准。 FDA批准该公司推出新疫苗。
提议,tí yì,proposal; suggestion; to propose; to suggest,例句：他拒绝接受我们的提议。
鼓励,gǔ lì,to encourage,例句：老师应该鼓励孩子们成为独立思考者。
执行（*不是必须掌握的生词，optional）,zhí xíng,to execute; to run v./n. 执行规定、执行计划、执行政策,例句：这个设想虽好，执行起来却会遇到很多困难。
规定,guī dìng,to set; to formulate; regulation; rule,例句：国家规定一对夫妇只能生育一个孩子。 这是一项严格的规定。
限制（*复习生词）,xiàn zhì,to restrict; to limit v. 限制 to do n. 受到限制,例如：这次的活动限制人数。 这次活动限制大四学生参加。 由于在网上批评政府，他的自由活动受到了限制。
宣传,xuān chuán,to disseminate; to give publicity to; propaganda; Classifiers: 个,v./n. 例句：中国政府非常重视宣传的作用。 公司常常利用社交平台来宣传员工福利。
遏制,è zhì,"to restrain 
 遏制…的趋势、发展",例句：当今各国政府都在遏制通货膨胀(inflation)，以期渡过金融危机。
承诺（*复习生词）,chéng nuò,to promise; to undertake to do something; commitment,例句：她承诺会爱他一生一世。 做出承诺、许下承诺：她许下了这样的承诺。/不要忘了你做出的承诺。
提供,tí gōng,to offer; to supply; to provide; to furnish,例句：我们为顾客提供个人服务。
额外,é wài,extra; added; additional,例句：她为获得额外收入决定租出一个房间。
一系列,yí xì liè,a series of; a string of,例句：中国经历了一系列艰苦的变革和试验。
逐步,zhú bù,progressively; step by step 一步一步地、慢慢地：逐步增加、逐步减少、逐步放开、逐步改变,例句：世界各国的国际关系已逐步改善。
例外,lì wài,exception; to be an exception 几乎没有例外、毫无例外、唯一例外、唯一例外的是...,例句：几乎所有的机场都安排了体温检测，唯一例外的是X机场。
首次,shǒu cì,first; first time; for the first time,例句：人类首次登月是一个勇敢的壮举。
试图,shì tú,to attempt; to try,例句：我试图吃东西。
据（*复习生词）,jù,according to,例句：据预告，该书正在编写中。/据市政府称，近几个月失业率有所下降。
称（*复习生词）,chēng,to state  据称，... ：it is said that，,例句：他称这次历险为人生的奇遇。/据国外媒体称，中国在新疆设立了许多“再教育营”，严重侵犯了人权。
意味着,yì wèi zhe,to signify; to mean; to imply,例句：寻求和平也意味着寻求正义。
取消,qǔ xiāo,to cancel; cancellation,例句：这些法律取消了贵族的特权。
有所,yǒu suǒ,somewhat; to some extent 有一定程度的：有所不同、有所增加、有所了解、有所准备、有所期待…,例句：医生希望患者家属对手术结果有所准备。
松动,sōng dòng,"loose; slack; (fig.) to soften (policies, tone of voice); to give some slack; (of a place) not crowded",例句：他有一颗牙松动了，痛得很厉害。/ 北京目前仍在实行严格的小区封闭管理，尚无(=还没有)松动的迹象。
强制,qiáng zhì,"to enforce; enforcement; forcibly; compulsory 
 强迫别人做事",例句：警察以武力强制两个打架的人停手。
放宽（*复习生词）,fàng kuān,to relax restrictions,例句：政府放宽经济政策以鼓励生产的积极性。
老龄化,lǎo líng huà,aging,例句：由于人口老龄化的压力，养老金让政府十分头疼。
宣布,xuān bù,to declare; to announce; to proclaim,例句：她不知该怎样宣布这一坏消息。
扭转,niǔ zhuǎn,"reverse 
 完全改变某一趋势、居面",例句：新出台的政策扭转了经济持续下滑的趋势。
警告,jǐnggào,to warn; warning v./n. 发出警告,例句：气象局(weather service)发出了飓风(hurricane)的警告。
急剧,jí jù,"rapid, sudden",例句：近年来出生率急剧下降。
潜在,qián zài,potential,例句：据称，美国将中国视为潜在的威胁。
埋下伏笔,mái xià fú bǐ,"setting the stage, foreshadow (为…埋下伏笔，伏笔：a hint foreshadowing
 later developments in a story)。",例句：这一场争斗为他们接下来的爱情悲剧埋下了伏笔。
机构,jīgòu,政府机构=政府部门行政机构(Administration)、教育机构、医疗机构、金融(financial)机构,例句：中国政府设立了专门的机构来进行网络审查的工作。
有助于,yǒu zhù yú,A contribute to B A 有助于 B：A对B有帮助,例句：这项改革有助于解决资源分配的问题。 参加社团活动有助于学生培养发展自己的兴趣爱好。
改善,gǎi shàn,to make better; to improve; Classifiers: 个,该地区的环境问题已经有所改善了。